Household Income Bucket,Year,Household Income,Place,share
"< $10,000",2013,26966,"Austin, TX",0.079830427690495
"< $10,000",2014,26767,"Austin, TX",0.0777457310573384
"< $10,000",2015,25675,"Austin, TX",0.0731075328521192
"< $10,000",2016,24851,"Austin, TX",0.0693385342116791
"< $10,000",2017,23261,"Austin, TX",0.0643890637413254
"< $10,000",2018,22301,"Austin, TX",0.0602659690900787
"< $10,000",2019,22090,"Austin, TX",0.0580716734316179
"< $10,000",2020,22560,"Austin, TX",0.0570734669095324
"< $10,000",2021,22505,"Austin, TX",0.0556887664833057
"< $10,000",2022,21851,"Austin, TX",0.0516475646392281
"< $10,000",2023,22890,"Austin, TX",0.0519879898431502
"$10,000-$14,999",2013,15562,"Austin, TX",0.0460699071319247
"$10,000-$14,999",2014,15490,"Austin, TX",0.0449912718675298
"$10,000-$14,999",2015,14568,"Austin, TX",0.0414812283773971
"$10,000-$14,999",2016,13287,"Austin, TX",0.0370729992382833
"$10,000-$14,999",2017,12525,"Austin, TX",0.034670608458798
"$10,000-$14,999",2018,11911,"Austin, TX",0.0321881511067632
"$10,000-$14,999",2019,10756,"Austin, TX",0.0282760941344718
"$10,000-$14,999",2020,11064,"Austin, TX",0.0279902853673345
"$10,000-$14,999",2021,11010,"Austin, TX",0.0272443154401775
"$10,000-$14,999",2022,11916,"Austin, TX",0.0281649526447779
"$10,000-$14,999",2023,11361,"Austin, TX",0.0258032133074718
"$15,000-$19,999",2013,15552,"Austin, TX",0.0460403030276117
"$15,000-$19,999",2014,15453,"Austin, TX",0.0448838040134886
"$15,000-$19,999",2015,14372,"Austin, TX",0.0409231338714958
"$15,000-$19,999",2016,13795,"Austin, TX",0.0384904059977511
"$15,000-$19,999",2017,12005,"Austin, TX",0.0332311899838619
"$15,000-$19,999",2018,11552,"Austin, TX",0.0312179935845293
"$15,000-$19,999",2019,11195,"Austin, TX",0.0294301667753265
"$15,000-$19,999",2020,10524,"Austin, TX",0.0266241651487553
"$15,000-$19,999",2021,10490,"Austin, TX",0.0259575721133027
"$15,000-$19,999",2022,9701,"Austin, TX",0.0229295238005195
"$15,000-$19,999",2023,9564,"Austin, TX",0.0217218494914761
