Year,Bucket,Count,BucketOrder,YearTotal,Ratio
2015,"< $99,999",12755,0.0,156847,0.08132128762424529
2016,"< $99,999",12266,0.0,161795,0.0758119843011218
2017,"< $99,999",10433,0.0,163001,0.06400574229605953
2018,"< $99,999",8484,0.0,166832,0.05085355327515105
2019,"< $99,999",7157,0.0,171343,0.041770016866752656
2020,"< $99,999",6284,0.0,179636,0.03498185218998419
2021,"< $99,999",6150,0.0,180236,0.034121929026387623
2022,"< $99,999",5168,0.0,187629,0.027543716589652985
2023,"< $99,999",5279,0.0,195213,0.027042256407104035
2015,"$100,000 - $199,999",46543,1.0,156847,0.2967414104190708
2016,"$100,000 - $199,999",42143,1.0,161795,0.26047158441237367
2017,"$100,000 - $199,999",35209,1.0,163001,0.21600480978644304
2018,"$100,000 - $199,999",29344,1.0,166832,0.17588951759854224
2019,"$100,000 - $199,999",23880,1.0,171343,0.1393695686430143
2020,"$100,000 - $199,999",19575,1.0,179636,0.10897036228818277
2021,"$100,000 - $199,999",15083,1.0,180236,0.08368472447235846
2022,"$100,000 - $199,999",7402,1.0,187629,0.039450191601511496
2023,"$100,000 - $199,999",5402,1.0,195213,0.027672337395562796
2015,"$200,000 - $299,999",40138,2.0,156847,0.25590543650818953
2016,"$200,000 - $299,999",41500,2.0,161795,0.25649741957415245
2017,"$200,000 - $299,999",40780,2.0,163001,0.2501825142177042
2018,"$200,000 - $299,999",41551,2.0,166832,0.24905893353793038
2019,"$200,000 - $299,999",41747,2.0,171343,0.24364578652177213
2020,"$200,000 - $299,999",40648,2.0,179636,0.22627981028301677
2021,"$200,000 - $299,999",37162,2.0,180236,0.2061852238176613
2022,"$200,000 - $299,999",27822,2.0,187629,0.14828198199638648
2023,"$200,000 - $299,999",21614,2.0,195213,0.11072008524022478
2015,"$300,000 to $399,999",22755,3.0,156847,0.14507768717284997
2016,"$300,000 to $399,999",25602,3.0,161795,0.15823727556475786
2017,"$300,000 to $399,999",28135,3.0,163001,0.17260630302881577
2018,"$300,000 to $399,999",31226,3.0,166832,0.1871703270355807
2019,"$300,000 to $399,999",34008,3.0,171343,0.19847907413784047
2020,"$300,000 to $399,999",39550,3.0,179636,0.22016744973167962
2021,"$300,000 to $399,999",38772,3.0,180236,0.2151179564570896
2022,"$300,000 to $399,999",33342,3.0,187629,0.17770174120205298
2023,"$300,000 to $399,999",28816,3.0,195213,0.147613120027867
2015,"$400,000 to $499,999",13560,4.0,156847,0.08645367778790797
2016,"$400,000 to $499,999",15282,4.0,161795,0.0944528570104144
2017,"$400,000 to $499,999",18088,4.0,163001,0.11096864436414501
2018,"$400,000 to $499,999",20324,4.0,166832,0.1218231514337777
2019,"$400,000 to $499,999",22619,4.0,171343,0.1320100616891265
2020,"$400,000 to $499,999",26405,4.0,179636,0.14699169431517067
2021,"$400,000 to $499,999",27702,4.0,180236,0.15369848420959187
2022,"$400,000 to $499,999",32341,4.0,187629,0.17236674501276456
2023,"$400,000 to $499,999",33501,4.0,195213,0.1716125462955848
2015,"$500,000 to $749,999",13328,5.0,156847,0.08497452931838033
2016,"$500,000 to $749,999",15668,5.0,161795,0.09683859204548967
2017,"$500,000 to $749,999",19136,5.0,163001,0.11739805277268238
2018,"$500,000 to $749,999",22791,5.0,166832,0.13661048240145776
2019,"$500,000 to $749,999",26470,5.0,171343,0.15448544731912012
2020,"$500,000 to $749,999",29411,5.0,179636,0.163725533857356
2021,"$500,000 to $749,999",32827,5.0,180236,0.1821334250649149
2022,"$500,000 to $749,999",45357,5.0,187629,0.24173768447308253
2023,"$500,000 to $749,999",54435,5.0,195213,0.2788492569654685
2015,"$750,000 to $999,999",4029,6.0,156847,0.02568745337813283
2016,"$750,000 to $999,999",4992,6.0,161795,0.03085385827744986
2017,"$750,000 to $999,999",6049,6.0,163001,0.0371102017779032
2018,"$750,000 to $999,999",6952,6.0,166832,0.041670662702599025
2019,"$750,000 to $999,999",8074,6.0,171343,0.047121854992617146
2020,"$750,000 to $999,999",8947,6.0,179636,0.049806274911487675
2021,"$750,000 to $999,999",11703,6.0,180236,0.06493153421070152
2022,"$750,000 to $999,999",18576,6.0,187629,0.0990038853268951
2023,"$750,000 to $999,999",22295,6.0,195213,0.11420858242022816
2015,"$1,000,000 - $1,999,999",2654,7.0,156847,0.016920948440199684
2016,"$1,000,000 - $1,999,999",2990,7.0,161795,0.01848017553076424
2017,"$1,000,000 - $1,999,999",3602,7.0,163001,0.022098023938503446
2018,"$1,000,000 - $1,999,999",4306,7.0,166832,0.025810396087081616
2019,"$1,000,000 - $1,999,999",5446,7.0,171343,0.03178419894597387
2020,"$1,000,000 - $1,999,999",6812,7.0,179636,0.037921129394998775
2021,"$1,000,000 - $1,999,999",8622,7.0,180236,0.0478372800106527
2022,"$1,000,000 - $1,999,999",13641,7.0,187629,0.07270198103704652
2023,"$1,000,000 - $1,999,999",18418,7.0,195213,0.09434822475962154
2015,"$2,000,000 or More",1085,8.0,156847,0.006917569351023609
2016,"$2,000,000 or More",1352,8.0,161795,0.008356253283476004
2017,"$2,000,000 or More",1569,8.0,163001,0.00962570781774345
2018,"$2,000,000 or More",1854,8.0,166832,0.011112975927879543
2019,"$2,000,000 or More",1942,8.0,171343,0.011333990883782822
2020,"$2,000,000 or More",2004,8.0,179636,0.011155893028123538
2021,"$2,000,000 or More",2215,8.0,180236,0.012289442730642046
2022,"$2,000,000 or More",3980,8.0,187629,0.021212072760607367
2023,"$2,000,000 or More",5453,8.0,195213,0.027933590488338378
