zpid,city,zipcode,latitude,longitude,propertyTaxRate,garageSpaces,hasAssociation,hasGarage,homeType,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,latest_saleyear,livingAreaSqFt,avgSchoolDistance,avgSchoolRating,numOfBathrooms,numOfBedrooms,numOfStories,listingType
111373431,pflugerville,78660,30.43063164,-97.66307831,1.98,2,True,True,Single Family,2,2012,305000,5,2019,2601,1.266666667,2.666666667,3.0,4,2,Sale
120900430,pflugerville,78660,30.4326725,-97.66169739,1.98,2,True,True,Single Family,2,2013,295000,1,2020,1768,1.4,2.666666667,2.0,4,1,Sale
2084491383,pflugerville,78660,30.40974808,-97.63977051,1.98,0,True,False,Single Family,0,2018,256125,1,2019,1478,1.2,3.0,2.0,3,1,Sale
120901374,pflugerville,78660,30.43211174,-97.66165924,1.98,2,True,True,Single Family,2,2013,240000,4,2018,1678,1.4,2.666666667,2.0,3,1,Sale
60134862,pflugerville,78660,30.43736839,-97.65686035,1.98,0,True,False,Single Family,0,2002,239900,3,2018,2132,1.133333333,4.0,3.0,3,2,Sale
2080105342,pflugerville,78660,30.43777466,-97.65618134,1.98,2,True,True,Single Family,2,2020,309045,2,2020,1446,1.066666667,4.0,2.0,3,1,Sale
241932337,pflugerville,78660,30.4146843,-97.64339447,1.98,0,True,False,Single Family,0,2016,315000,2,2020,2432,1.233333333,3.666666667,3.0,4,2,Sale
60134835,pflugerville,78660,30.43940353,-97.65803528,1.98,0,True,False,Single Family,0,2002,219900,2,2018,1422,1.166666667,4.0,3.0,3,2,Sale
60134833,pflugerville,78660,30.43909645,-97.65795898,1.98,0,True,False,Single Family,0,2002,225000,1,2019,1870,1.166666667,4.0,2.0,3,2,Sale
83827468,del valle,78617,30.16070175,-97.63812256,1.98,2,True,True,Single Family,2,2013,194800,1,2018,1422,1.2,3.0,3.0,3,2,Sale
241932327,pflugerville,78660,30.41493416,-97.64328766,1.98,2,True,True,Single Family,2,2016,279900,2,2020,1580,1.2,3.666666667,2.0,3,1,Sale
241930967,del valle,78617,30.159338,-97.63335419,1.98,0,True,False,Single Family,0,2016,250000,1,2019,2281,1.2,3.0,3.0,3,2,Sale
69808966,del valle,78617,30.16776848,-97.62343597,1.98,2,True,True,Single Family,2,2005,239900,9,2020,1762,0.6333333333,3.333333333,2.0,4,1,Sale
64520966,del valle,78617,30.15428352,-97.65058136,1.98,0,True,False,Single Family,0,2003,200000,1,2018,1326,1.833333333,3.0,2.0,3,1,Sale
83813460,del valle,78617,30.15972137,-97.63627625,1.98,2,True,True,Single Family,2,2010,131679,5,2020,1655,1.233333333,3.0,3.0,3,2,Sale
29470450,del valle,78617,30.15768814,-97.64641571,1.98,2,True,True,Single Family,2,2000,200000,1,2020,1228,1.466666667,3.0,2.0,3,1,Sale
70341946,del valle,78617,30.16875839,-97.61647034,1.98,2,True,True,Single Family,2,2009,212000,5,2019,1752,0.5666666667,3.333333333,2.0,4,1,Sale
116080992,austin,78717,30.48640823,-97.79472351,2.21,0,True,False,Single Family,0,2014,687850,13,2018,4564,3.266666667,7.666666667,6.0,5,2,Sale
