Value Bucket ID,Value Bucket,Year,Property Value by Bucket,Property Value by Bucket Moe,Place,Place ID,share
0,"Less Than $10,000",2015,1460217,13521.000000000002,"United States","01000US",0.019544587501907823
0,"Less Than $10,000",2016,1463996,13329,"United States","01000US",0.019550949780791055
0,"Less Than $10,000",2017,1476974,13039,"United States","01000US",0.01947663115866171
0,"Less Than $10,000",2018,1258863,12461,"United States","01000US",0.01646760584531507
0,"Less Than $10,000",2019,1028776,9530,"United States","01000US",0.013313286844704715
0,"Less Than $10,000",2020,1031883,8097,"United States","01000US",0.013094733269632246
0,"Less Than $10,000",2021,1045047,8871,"United States","01000US",0.013038288512271054
0,"Less Than $10,000",2022,1049858,11030,"United States","01000US",0.012882047310257362
0,"Less Than $10,000",2023,1076983,11612,"United States","01000US",0.012992599035779517
1,"$10,000 to $14,999",2015,705869,6388,"United States","01000US",0.009447854966340053
1,"$10,000 to $14,999",2016,672264,6070,"United States","01000US",0.008977756567254089
1,"$10,000 to $14,999",2017,632158,6026,"United States","01000US",0.008336171252843496
1,"$10,000 to $14,999",2018,596848,5635,"United States","01000US",0.007807567315557459
1,"$10,000 to $14,999",2019,555266,5017,"United States","01000US",0.007185641512935575
1,"$10,000 to $14,999",2020,544313,7029.999999999999,"United States","01000US",0.006907404764099551
1,"$10,000 to $14,999",2021,533830,6098,"United States","01000US",0.0066602072026479735
1,"$10,000 to $14,999",2022,503432,6841,"United States","01000US",0.006177249534220327
1,"$10,000 to $14,999",2023,490383,5964,"United States","01000US",0.0059159241074025
2,"$15,000 to $19,999",2015,629841,6142,"United States","01000US",0.008430241900203275
2,"$15,000 to $19,999",2016,598938,6308,"United States","01000US",0.007998523739004363
2,"$15,000 to $19,999",2017,562022,5452,"United States","01000US",0.007411298504275209
2,"$15,000 to $19,999",2018,527481,5691,"United States","01000US",0.006900154503621633
2,"$15,000 to $19,999",2019,493678,5343,"United States","01000US",0.006388637393290798
2,"$15,000 to $19,999",2020,488049,6423,"United States","01000US",0.006193407079592113
2,"$15,000 to $19,999",2021,476859,5785,"United States","01000US",0.005949421625700148
2,"$15,000 to $19,999",2022,437226,6308,"United States","01000US",0.005364883648335856
2,"$15,000 to $19,999",2023,416267,5396,"United States","01000US",0.005021797208337394
3,"$20,000 to $24,999",2015,659945,5495,"United States","01000US",0.008833175342395383
3,"$20,000 to $24,999",2016,632979,5277,"United States","01000US",0.008453124626908367
3,"$20,000 to $24,999",2017,603519,5001,"United States","01000US",0.007958513122265089
3,"$20,000 to $24,999",2018,568572,5333,"United States","01000US",0.007437679549468433
3,"$20,000 to $24,999",2019,541349,4923,"United States","01000US",0.007005543014314149
3,"$20,000 to $24,999",2020,524602,5422,"United States","01000US",0.006657269538034463
3,"$20,000 to $24,999",2021,512481,6036,"United States","01000US",0.006393851314875965
3,"$20,000 to $24,999",2022,519925,6654,"United States","01000US",0.006379623194551605
3,"$20,000 to $24,999",2023,531847,6522,"United States","01000US",0.00641614103415024
4,"$25,000 to $29,999",2015,601605,5044,"United States","01000US",0.008052311104503822
4,"$25,000 to $29,999",2016,576582,5203,"United States","01000US",0.007699970304910715
4,"$25,000 to $29,999",2017,552538,4783,"United States","01000US",0.007286234440920846
4,"$25,000 to $29,999",2018,522549,5396,"United States","01000US",0.006835637370280598
4,"$25,000 to $29,999",2019,496197,4677,"United States","01000US",0.006421235519181966
4,"$25,000 to $29,999",2020,483311,5903,"United States","01000US",0.006133281225952196
4,"$25,000 to $29,999",2021,468889,5484,"United States","01000US",0.005849985753971125
4,"$25,000 to $29,999",2022,435839,5245,"United States","01000US",0.0053478647756699076
4,"$25,000 to $29,999",2023,429356,4855,"United States","01000US",0.0051797013988207335
5,"$30,000 to $34,999",2015,739249,6718,"United States","01000US",0.009894636732895081
5,"$30,000 to $34,999",2016,711866,6083,"United States","01000US",0.009506621887390815
5,"$30,000 to $34,999",2017,674950,6727,"United States","01000US",0.008900462838573138
5,"$30,000 to $34,999",2018,641527,6041,"United States","01000US",0.00839202818346988
