Wage Bin ID,Wage Bin,Year,Record Count,Total Population,Total Population MOE Appx,State,State ID,share
1,"< $10K",2014,913396,18869684,99047.69181667948,"United States","01000US",0.13746927588547378
1,"< $10K",2015,917319,18945648,99344.28471402325,"United States","01000US",0.13577506431071076
1,"< $10K",2016,906288,18779566,99097.14242391725,"United States","01000US",0.13246462276977286
1,"< $10K",2017,887479,18334177,98216.96238879346,"United States","01000US",0.12710489187300802
1,"< $10K",2018,861436,17749199,96955.97378159911,"United States","01000US",0.12133997342924331
1,"< $10K",2019,842218,17235672,95825.12439705018,"United States","01000US",0.11614495457281954
1,"< $10K",2020,793203,16516092,94090.43442734538,"United States","01000US",0.11072898560632441
1,"< $10K",2021,761707,15945753,92710.38724424138,"United States","01000US",0.10574322247296193
1,"< $10K",2022,719627,15059885,90437.41750428962,"United States","01000US",0.09899929291220062
1,"< $10K",2023,708567,14583760,89190.60843433617,"United States","01000US",0.09506116280070856
2,"$10-20k",2014,946567,20872558,103286.84344866907,"United States","01000US",0.15206059805440053
2,"$10-20k",2015,949586,21106011,103912.03062176837,"United States","01000US",0.15125742866475558
2,"$10-20k",2016,937538,20981626,103804.17962481765,"United States","01000US",0.14799719935947714
2,"$10-20k",2017,919238,20636260,103243.88185148242,"United States","01000US",0.143064485303228
2,"$10-20k",2018,885585,19831682,101652.43705180778,"United States","01000US",0.13557658387497953
2,"$10-20k",2019,859662,19193171,100362.95984411176,"United States","01000US",0.12933583175076419
2,"$10-20k",2020,800140,18348234,98484.67628743006,"United States","01000US",0.12301223185772228
2,"$10-20k",2021,739876,16882255,95062.19145903268,"United States","01000US",0.1119535744916075
2,"$10-20k",2022,674037,15246005,90932.74087110991,"United States","01000US",0.10022279152436259
2,"$10-20k",2023,645316,14322807,88472.0762929763,"United States","01000US",0.09336019572388246
3,"$20-30k",2014,926864,20178617,101857.65498697881,"United States","01000US",0.14700510445009632
3,"$20-30k",2015,938772,20638689,102957.73257811854,"United States","01000US",0.1479083389633207
3,"$20-30k",2016,949599,21069025,103982.5135197369,"United States","01000US",0.14861368195366784
3,"$20-30k",2017,944996,21154896,104313.67658171566,"United States","01000US",0.1466600201724206
3,"$20-30k",2018,947651,21368534,104874.50805769727,"United States","01000US",0.14608306255295703
3,"$20-30k",2019,918457,20822317,103874.56028547454,"United States","01000US",0.14031405692019713
3,"$20-30k",2020,870946,20537630,103319.30512977143,"United States","01000US",0.1376906193461514
3,"$20-30k",2021,835968,19765189,101745.9777231882,"United States","01000US",0.13107156354718025
3,"$20-30k",2022,772403,18217376,98314.8850940853,"United States","01000US",0.11975571810247514
3,"$20-30k",2023,706505,16404731,93972.73709747681,"United States","01000US",0.10693077809102937
4,"$30-40k",2014,865039,18265335,97697.05623166784,"United States","01000US",0.1330664772264125
4,"$30-40k",2015,869102,18489784,98327.13710575028,"United States","01000US",0.1325080890181825
4,"$30-40k",2016,860163,18408175,98260.3815831878,"United States","01000US",0.1298449579321995
4,"$30-40k",2017,862964,18617675,98861.91839776494,"United States","01000US",0.12907029139087098
4,"$30-40k",2018,851937,18508007,98714.10542530923,"United States","01000US",0.1265274606255893
4,"$30-40k",2019,879732,19271700,100537.50151548315,"United States","01000US",0.1298650102555332
4,"$30-40k",2020,838260,19219120,100458.7451074371,"United States","01000US",0.12885092077751936
4,"$30-40k",2021,806553,18687187,99338.56855683486,"United States","01000US",0.12392286349442651
4,"$30-40k",2022,754494,17620909,96907.10991489798,"United States","01000US",0.11583471795901709
4,"$30-40k",2023,757593,17560656,96816.16730913232,"United States","01000US",0.1144654313361739
5,"$40-50k",2014,689133,14243253,87718.32751780639,"United States","01000US",0.10376483655813219
5,"$40-50k",2015,680742,14156964,87564.75371202904,"United States","01000US",0.1014566879710009
5,"$40-50k",2016,704613,14671784,89041.78424517416,"United States","01000US",0.10348973628674855
5,"$40-50k",2017,710138,14862674,89641.73119299699,"United States","01000US",0.10303808955884781
5,"$40-50k",2018,729171,15317973,90919.08090549585,"United States","01000US",0.10471922912182496
5,"$40-50k",2019,733720,15497426,91464.78933640393,"United States","01000US",0.10443154399582635
5,"$40-50k",2020,696515,15459807,91393.69840338074,"United States","01000US",0.10364732448690364
5,"$40-50k",2021,692657,15586422,91781.87923309933,"United States","01000US",0.10336034234968197
5,"$40-50k",2022,695119,15684163,92082.41274650917,"United States","01000US",0.10310311446068142
5,"$40-50k",2023,737465,16825121,95023.08283110391,"United States","01000US",0.10967100161567526
6,"$50-60k",2014,533898,10812566,77485.92077409594,"United States","01000US",0.07877162216833593
6,"$50-60k",2015,555768,11334598,79228.45969214762,"United States","01000US",0.0812300414525834
6,"$50-60k",2016,557483,11359375,79362.68498660358,"United States","01000US",0.0801251383698318
6,"$50-60k",2017,582640,11911524,81160.14741250928,"United States","01000US",0.08257872551698067
6,"$50-60k",2018,601190,12319442,82464.26860515302,"United States","01000US",0.08422018170752968
6,"$50-60k",2019,617166,12658281,83541.36472206489,"United States","01000US",0.08529957356550906
6,"$50-60k",2020,612324,13159218,85042.10571332583,"United States","01000US",0.08822346475864176
6,"$50-60k",2021,611493,13393203,85766.95477431842,"United States","01000US",0.08881615339548664
6,"$50-60k",2022,631525,13995376,87520.46259463763,"United States","01000US",0.09200152112983484
6,"$50-60k",2023,587929,13111097,85014.92396037251,"United States","01000US",0.08546191972528906
7,"$60-70k",2014,415355,8405476,68965.8736093404,"United States","01000US",0.06123550872355513
7,"$60-70k",2015,420051,8553667,69568.7592880117,"United States","01000US",0.06130034121912349
7,"$60-70k",2016,429170,8718040,70226.77075263964,"United States","01000US",0.061494066470534556
7,"$60-70k",2017,439820,8944414,71113.18111445638,"United States","01000US",0.062008715980947454
7,"$60-70k",2018,459940,9359787,72668.91967376214,"United States","01000US",0.06398690475459637
7,"$60-70k",2019,466240,9465154,73084.79565794294,"United States","01000US",0.06378224657296455
7,"$60-70k",2020,457989,9766312,74171.1817337143,"United States","01000US",0.06547637424609122
7,"$60-70k",2021,485563,10510051,76769.62987146697,"United States","01000US",0.06969671868711223
7,"$60-70k",2022,490328,10645563,77251.1630745861,"United States","01000US",0.06998082718774315
7,"$60-70k",2023,495711,10696406,77446.1817968026,"United States","01000US",0.06972226587303108
8,"$70-80k",2014,283801,5730617,57532.7550182702,"United States","01000US",0.04174864663165457
8,"$70-80k",2015,283744,5759646,57692.48767235167,"United States","01000US",0.04127683075590384
8,"$70-80k",2016,306131,6190297,59735.93984457081,"United States","01000US",0.04366423361103535
8,"$70-80k",2017,323240,6534050,61319.668763285474,"United States","01000US",0.04529844556114126
8,"$70-80k",2018,324621,6579666,61543.57092792526,"United States","01000US",0.04498098745826759
8,"$70-80k",2019,344155,6969137,63273.120914931256,"United States","01000US",0.04696249152784735
8,"$70-80k",2020,337010,7164175,64116.423727331996,"United States","01000US",0.04803084352255904
8,"$70-80k",2021,355486,7684500,66301.75035128048,"United States","01000US",0.050959261258685995
8,"$70-80k",2022,381277,8235939,68524.29834688094,"United States","01000US",0.054140661596553806
8,"$70-80k",2023,420720,9116002,71891.02316541763,"United States","01000US",0.059420735819403554
9,"$80-90k",2014,221541,4467110,51039.18703324813,"United States","01000US",0.0325437552107793
9,"$80-90k",2015,223105,4531495,51407.50901819322,"United States","01000US",0.03247521673835935
9,"$80-90k",2016,231989,4677346,52214.299022827305,"United States","01000US",0.0329923957483206
9,"$80-90k",2017,239313,4814316,52962.785992977675,"United States","01000US",0.03337608852704392
9,"$80-90k",2018,256478,5163031,54792.87448166976,"United States","01000US",0.035296355872417653
9,"$80-90k",2019,283621,5705088,57503.34459432642,"United States","01000US",0.038444522882190954
9,"$80-90k",2020,281779,5926069,58567.23839542772,"United States","01000US",0.0397301982214125
9,"$80-90k",2021,310735,6636040,61838.184886883995,"United States","01000US",0.04400646705486246
9,"$80-90k",2022,326095,6921729,63105.860919922714,"United States","01000US",0.045501428246621636
9,"$80-90k",2023,340000,7334486,64881.636644862614,"United States","01000US",0.04780829962269797
10,"$90-100k",2014,156630,3124334,42899.65487843679,"United States","01000US",0.02276137388439392
10,"$90-100k",2015,156215,3135698,42983.96174367425,"United States","01000US",0.022472158123541995
10,"$90-100k",2016,156637,3112792,42837.96976057074,"United States","01000US",0.021956568008055503
10,"$90-100k",2017,172975,3440166,44990.70898286708,"United States","01000US",0.02384955307539567
10,"$90-100k",2018,184790,3685002,46532.15457687366,"United States","01000US",0.025192012595425205
10,"$90-100k",2019,192775,3834497,47450.879360820065,"United States","01000US",0.02583928725695249
10,"$90-100k",2020,201663,4186964,49526.964299149564,"United States","01000US",0.028070700774141876
10,"$90-100k",2021,197182,4154962,49350.45678343634,"United States","01000US",0.027553359890417396
10,"$90-100k",2022,233678,5000174,53989.563403827735,"United States","01000US",0.03286968595297838
10,"$90-100k",2023,277415,5904636,58499.027996364886,"United States","01000US",0.03848812405545103
11,"$100-110k",2014,152927,3068228,42521.60913291079,"United States","01000US",0.022352630887275876
11,"$100-110k",2015,156633,3161280,43154.89643753222,"United States","01000US",0.02265549298203808
11,"$100-110k",2016,167259,3344063,44363.78235550271,"United States","01000US",0.023587874385028653
11,"$100-110k",2017,178624,3565278,45781.16125875204,"United States","01000US",0.024716913919136614
11,"$100-110k",2018,193438,3854981,47564.88052964303,"United States","01000US",0.02635405080027768
11,"$100-110k",2019,206652,4101980,49032.57233698994,"United States","01000US",0.02764175836942211
11,"$100-110k",2020,208155,4312603,50242.768704269954,"United States","01000US",0.028913023462983342
11,"$100-110k",2021,218840,4659369,52170.25852380588,"United States","01000US",0.03089830205890071
11,"$100-110k",2022,208900,4392947,50709.537253756425,"United States","01000US",0.028877952706861505
11,"$100-110k",2023,233588,4931012,53635.04680548415,"United States","01000US",0.03214176141847147
12,"$110-120k",2014,71245,1403157,28933.217484444198,"United States","01000US",0.010222268520428521
12,"$110-120k",2015,77254,1533674,30237.186074341338,"United States","01000US",0.010991161979873426
12,"$110-120k",2016,82259,1624938,31116.439288317135,"United States","01000US",0.011461755782549458
12,"$110-120k",2017,86397,1701016,31831.199957048524,"United States","01000US",0.01179259122207976
12,"$110-120k",2018,96723,1906459,33677.493060342465,"United States","01000US",0.013033246424469172
12,"$110-120k",2019,103604,2035380,34785.52580644912,"United States","01000US",0.0137156890452792
12,"$110-120k",2020,100399,2059548,34989.80234021527,"United States","01000US",0.013807846362658565
12,"$110-120k",2021,121697,2524846,38683.49021786723,"United States","01000US",0.016743351805836203
12,"$110-120k",2022,201923,4296455,50165.89764105723,"United States","01000US",0.028243642433464063
12,"$110-120k",2023,173220,3727629,46821.97727347968,"United States","01000US",0.02429776321261749
13,"$120-130k",2014,73450,1448708,29394.170629136544,"United States","01000US",0.010554116313208687
13,"$120-130k",2015,80929,1603084,30906.066953934005,"United States","01000US",0.011488592693977607
13,"$120-130k",2016,91189,1795586,32689.632003432853,"United States","01000US",0.012665448293144015
13,"$120-130k",2017,98295,1935423,33925.74367152614,"United States","01000US",0.013417658787931023
13,"$120-130k",2018,103148,2032821,34760.454416261906,"United States","01000US",0.013897102969345706
13,"$120-130k",2019,113413,2227697,36367.91195472249,"United States","01000US",0.015011643692628078
13,"$120-130k",2020,102330,2114430,35446.320000571875,"United States","01000US",0.014175792253735357
13,"$120-130k",2021,112758,2364900,37458.355990393575,"United States","01000US",0.015682680324115624
13,"$120-130k",2022,103064,2128565,35567.907160080256,"United States","01000US",0.013992565674814803
13,"$120-130k",2023,128677,2616975,39376.62119179188,"United States","01000US",0.01705819943007731
14,"$130-140k",2014,53228,1042306,24969.922795405237,"United States","01000US",0.007593399607067327
14,"$130-140k",2015,49952,985429,24285.579151599737,"United States","01000US",0.0070621329947985634
14,"$130-140k",2016,49450,964087,24024.322728183335,"United States","01000US",0.006800339303487738
14,"$130-140k",2017,58865,1150516,26229.024932965833,"United States","01000US",0.007976153594359088
14,"$130-140k",2018,67074,1311502,27990.041050619635,"United States","01000US",0.008965904198403514
14,"$130-140k",2019,68152,1324487,28128.83962565584,"United States","01000US",0.00892523845007552
14,"$130-140k",2020,81885,1666037,31512.145902774766,"United States","01000US",0.011169626991215834
14,"$130-140k",2021,97020,2005063,34532.82570198456,"United States","01000US",0.013296444694791427
14,"$130-140k",2022,113729,2374898,37538.8029765718,"United States","01000US",0.015611886992403954
14,"$130-140k",2023,116256,2411373,37823.93611215309,"United States","01000US",0.015718026169261767
15,"$140-150k",2014,32934,635897,19532.590540820263,"United States","01000US",0.004632631904580125
15,"$140-150k",2015,32859,640140,19598.090765860346,"United States","01000US",0.004587599730970321
15,"$140-150k",2016,39177,759257,21335.513273431592,"United States","01000US",0.005355538679131852
15,"$140-150k",2017,41619,805590,21974.33031481148,"United States","01000US",0.005584893712108078
15,"$140-150k",2018,46319,899956,23219.094973237465,"United States","01000US",0.006152426209627156
15,"$140-150k",2019,48494,938473,23708.71650253262,"United States","01000US",0.006324029834915498
15,"$140-150k",2020,54518,1106018,25724.070498423334,"United States","01000US",0.007415086523030733
15,"$140-150k",2021,61154,1264824,27495.44686767681,"United States","01000US",0.008387597978041025
15,"$140-150k",2022,79108,1645159,31319.69350489551,"United States","01000US",0.01081479557965702
15,"$140-150k",2023,90118,1893778,33577.01642140833,"United States","01000US",0.012344192359610982
16,"$150-160k",2014,40321,794760,21823.873076888005,"United States","01000US",0.005789979403085878
16,"$150-160k",2015,46247,913926,23393.93866828958,"United States","01000US",0.006549702677112477
16,"$150-160k",2016,52982,1041756,24966.417764834376,"United States","01000US",0.007348189812168583
16,"$150-160k",2017,57968,1131225,26009.954006240958,"United States","01000US",0.007842415359524646
16,"$150-160k",2018,55504,1077551,25391.486881718716,"United States","01000US",0.007366530157707656
16,"$150-160k",2019,59690,1151395,26241.91646729164,"United States","01000US",0.007758834118586821
16,"$150-160k",2020,56334,1152867,26259.078012024096,"United States","01000US",0.0077291766992461895
16,"$150-160k",2021,57013,1205528,26848.527738228328,"United States","01000US",0.007994380415988185
16,"$150-160k",2022,74413,1515754,30075.6198072101,"United States","01000US",0.009964124840849697
16,"$150-160k",2023,80044,1632177,31198.648312006164,"United States","01000US",0.01063900143149449
17,"$160-170k",2014,28987,569029,18481.6144906857,"United States","01000US",0.004145485668325726
17,"$160-170k",2015,26208,517998,17637.26306832002,"United States","01000US",0.0037122621386621118
17,"$160-170k",2016,24199,464757,16709.93263496724,"United States","01000US",0.00327823660486144
17,"$160-170k",2017,27193,523192,17726.224896423624,"United States","01000US",0.003627120136825494
17,"$160-170k",2018,34843,674853,20122.188563201675,"United States","01000US",0.004613540311799149
17,"$160-170k",2019,43181,833119,22346.30693642769,"United States","01000US",0.005614087365363697
17,"$160-170k",2020,45608,911439,23367.249667447893,"United States","01000US",0.006110568766027866
17,"$160-170k",2021,57551,1160727,26348.86374996077,"United States","01000US",0.007697285502376318
17,"$160-170k",2022,51801,1045320,25015.090758217106,"United States","01000US",0.006871628891388052
17,"$160-170k",2023,65560,1342006,28316.79632442106,"United States","01000US",0.008747582985836827
18,"$170-180k",2014,17167,331307,14114.494110918475,"United States","01000US",0.0024136351931377687
18,"$170-180k",2015,18416,358502,14681.212743992415,"United States","01000US",0.0025692249800861092
18,"$170-180k",2016,19849,385727,15227.309045064318,"United States","01000US",0.002720786068597974
18,"$170-180k",2017,17620,338883,14275.419905071241,"United States","01000US",0.0023493657267844954
18,"$170-180k",2018,21702,417733,15845.397571067026,"United States","01000US",0.0028557745687857856
18,"$170-180k",2019,26847,514213,17574.887030867354,"United States","01000US",0.0034650952701904083
18,"$170-180k",2020,29445,590807,18833.704708455592,"United States","01000US",0.003960952736223297
18,"$170-180k",2021,30354,619009,19276.582184815095,"United States","01000US",0.0041049178674576045
18,"$170-180k",2022,57426,1194681,26729.365077042192,"United States","01000US",0.0078534845555355
18,"$170-180k",2023,55911,1165955,26409.42977170743,"United States","01000US",0.0076000316840993095
19,"$180-190k",2014,16501,318190,13832.926646771222,"United States","01000US",0.002318075326221621
19,"$180-190k",2015,17810,345479,14412.7643240091,"United States","01000US",0.002475894909638353
19,"$180-190k",2016,18519,355689,14623.9431056147,"United States","01000US",0.00250890831067969
19,"$180-190k",2017,23805,460867,16640.549353126495,"United States","01000US",0.0031950411628969
19,"$180-190k",2018,25194,487740,17117.6320578602,"United States","01000US",0.0033343678574103055
19,"$180-190k",2019,27980,538396,17981.934693551426,"United States","01000US",0.003628055753334581
19,"$180-190k",2020,25920,518463,17647.270313623834,"United States","01000US",0.00347593619994438
19,"$180-190k",2021,30634,632906,19490.862776225556,"United States","01000US",0.004197074917846304
19,"$180-190k",2022,35923,726703,20879.17854509775,"United States","01000US",0.004777133633966988
19,"$180-190k",2023,46172,928691,23588.0416844239,"United States","01000US",0.006053476356066805
20,"$190-200k",2014,10960,212113,11298.546781996414,"United States","01000US",0.0015452839865201505
20,"$190-200k",2015,9817,192733,10770.916555679796,"United States","01000US",0.0013812320101057626
20,"$190-200k",2016,11131,216189,11406.70393407657,"United States","01000US",0.0015249231176042316
20,"$190-200k",2017,13077,251667,12305.767387457063,"United States","01000US",0.0017447255376123135
20,"$190-200k",2018,14991,284991,13093.834585546894,"United States","01000US",0.0019483020257744297
20,"$190-200k",2019,16722,318330,13837.168772976647,"United States","01000US",0.0021451106396759953
